"Harris_1788A.rtf" "Harris_1793.rtf" "MissBetsyClrke_1788.rtf" "MissBetsyHdsn_1788.rtf" "MissBlke_1788.rtf" "MissBnd_1788.rtf" "MissBrn_1788.rtf" "MissBrwn_1788.rtf" "MissClnton_1788.rtf" "MissDglss_1788.rtf" "MissDvnprt_1788.rtf" "MissGrge_1788.rtf" "MissGrn_1788.rtf" "MissHarrietJns_1788.rtf" "MissHllnd_1788.rtf" "MissHrdy_1788.rtf" "MissJnsn_1788.rtf" "MissKn_1788.rtf" "MissLcs_1788.rtf" "MissLnsy_1788.rtf" "MissLstr_1788.rtf" "MissLvr_1788.rtf" "MissMntn_1788.rtf" "MissRchrdsn_1788.rtf" "MissTrbt_1788.rtf" "MrsCrsby_1788.rtf" "MrsDd_1788.rtf" "MrsDfld_1788.rtf" "MrsHrvy_1788.rtf"
"MissDvnprt_1788.rtf" 0.707037800239465 0.753125720002249 1.14420869334941 0.51972177042965 0.310790592230131 0.806583329534954 2.07506390057927 1.1671660431461 2.0389263383903 2.55512748548671 0 0.936441752904038 1.0075370853168 0.686330947281875 1.86496503546287 1.97721692475086 1.89633365634848 0.796407110163785 1.75743736192849 2.00414499273012 0.51450395667551 1.75140816291787 0.725023606705087 1.81468738037333 1.89237108919289 0.235989503228096 0.35717969651316 0.506187599589032 0.369614196277756
"MissGrge_1788.rtf" 1.55559566977946 1.51629705760439 0.285164751947098 0.631052543505029 0.805861107334502 0.54637543928128 1.37660256026499 0.378408132600513 1.24890136571049 1.84728478867323 0.936441752904038 0 0.185924939326754 0.611413998509537 1.07884864497348 1.19879363650173 1.15512405204038 0.303458461704327 0.830304568394445 1.25810693655327 0.707129271816792 0.893674939633322 0.417029514539837 1.03397136706351 1.1760720019182 0.965582841714621 0.862201465268148 0.669857247609017 0.871216682836096
"MissGrn_1788.rtf" 1.54015027296553 1.48365145259299 0.305373445897622 0.588028954785788 0.783378191546229 0.42280862105409 1.42749506012656 0.402436125898801 1.41854435366434 1.85778662570803 1.0075370853168 0.185924939326754 0 0.458821361572912 1.02802100521257 1.2479181223701 1.24422858347603 0.29915016824989 0.886571186452966 1.30959352614423 0.654014865971234 0.973987315359637 0.410413332455393 1.08616374980433 1.27721800139499 0.837589176070252 0.78260826327183 0.61425763734378 0.862157965420515
"MissHarrietJns_1788.rtf" 1.30050355311054 1.32939126467585 0.61372571406821 0.171781174603335 0.473890813740329 0.261822717830733 1.60931501523636 0.734072932824559 1.66816225496634 2.07392475625602 0.686330947281875 0.611413998509537 0.458821361572912 0 1.23523739758548 1.49650617647002 1.43886891642934 0.401746168182831 1.26194872290046 1.56670824611965 0.367699904762089 1.27920306910312 0.200357748787222 1.28567012837105 1.50225409127862 0.548911194457655 0.462871469509508 0.342970104811995 0.517636432354586
"MissHllnd_1788.rtf" 2.4488712768821 2.44906810306689 0.968197555146307 1.40219592686583 1.68691343607371 1.15026840648759 0.575379662807035 0.790818020122183 0.614502814631121 0.9895072408474 1.86496503546287 1.07884864497348 1.02802100521257 1.23523739758548 0 0.499130638611573 0.4728419733285 1.24485619007476 0.345964448578032 0.544090320604076 1.54954711909966 0.393162496248133 1.19155797349995 0.232010688035826 0.55990253863622 1.73619697976558 1.68121606696716 1.49809200052081 1.75064518306998
"MissHrdy_1788.rtf" 2.59524526846609 2.61940818888465 1.09934551450932 1.62311977123 1.7463649041752 1.50152460260483 0.351047102185821 1.03917232132 0.180453368773005 0.675272167749779 1.97721692475086 1.19879363650173 1.2479181223701 1.49650617647002 0.499130638611573 0 0.262844951639471 1.40595182740411 0.70765086040103 0.241628259924972 1.8199370612993 0.512189641110959 1.35082722012488 0.374813411881985 0.246737055565077 1.89446874244736 1.79053593586152 1.66469247419117 1.92244140791034
"MissJnsn_1788.rtf" 2.53689194083828 2.5680854880042 0.956576334028674 1.4980918596684 1.79312799614404 1.53471403948075 0.363848567819577 0.876518831786461 0.327525980371302 0.860157895147557 1.89633365634848 1.15512405204038 1.24422858347603 1.43886891642934 0.4728419733285 0.262844951639471 0 1.3527925749392 0.576615792223561 0.254429725558727 1.64139626216316 0.456277053873098 1.31949797881853 0.243778343704516 0.352372682555474 1.87943116449117 1.73164936421067 1.63076148785592 1.70564651963526
"MissKn_1788.rtf" 1.35126161174032 1.29624747212292 0.447609924331739 0.483030375007924 0.628463336987628 0.278620179131954 1.56416445183343 0.56509363707987 1.52658103717047 2.00957918143143 0.796407110163785 0.303458461704327 0.29915016824989 0.401746168182831 1.24485619007476 1.40595182740411 1.3527925749392 0 1.07553876794287 1.45592606679511 0.519013288306152 1.16334923677118 0.23918534026955 1.30033182868562 1.43573953372884 0.728375311815614 0.628454112943502 0.474742098912377 0.683100699325456
"MissLcs_1788.rtf" 2.33389225382779 2.29502650952891 0.784926719317729 1.31857766768662 1.63616567572895 1.247611885447 0.809993791609373 0.645970869398628 0.701015291399681 1.27863532747937 1.75743736192849 0.830304568394445 0.886571186452966 1.26194872290046 0.345964448578032 0.70765086040103 0.576615792223561 1.07553876794287 0 0.634260830141165 1.39206698461407 0.268411931490125 1.17776568287798 0.332837448519046 0.65715373566818 1.69229091328442 1.61528100452279 1.43219917177738 1.59505721355315
"MissLnsy_1788.rtf" 2.6325517530125 2.6648325312046 1.14741733015841 1.58894078956804 1.92036510794019 1.57612153922876 0.175732961468207 0.920017406400573 0.205679492380181 0.738311407156436 2.00414499273012 1.25810693655327 1.30959352614423 1.56670824611965 0.544090320604076 0.241628259924972 0.254429725558727 1.45592606679511 0.634260830141165 0 1.73483260344712 0.506458175815743 1.46959468937758 0.31207963256825 0.240427010907504 1.9310971470026 1.77154463082249 1.82819199350865 1.8482914198594
"MissLstr_1788.rtf" 1.07141089051799 1.07779679179739 0.819692273784385 0.20110013999597 0.397035097167463 0.542161482803017 1.7873054040903 0.851035753774209 1.88461809003113 2.36030396318971 0.51450395667551 0.707129271816792 0.654014865971234 0.367699904762089 1.54954711909966 1.8199370612993 1.64139626216316 0.519013288306152 1.39206698461407 1.73483260344712 0 1.39522982051955 0.484949137518402 1.53652895184218 1.65942345698346 0.416775014878986 0.325674273052775 0.156170038167374 0.216672462510959
"MissLvr_1788.rtf" 2.35812941922661 2.35178278181694 0.855560626922976 1.2962636148004 1.58923345534928 1.33257495361464 0.615877018076592 0.750818245198808 0.576870669842788 1.18746180886074 1.75140816291787 0.893674939633322 0.973987315359637 1.27920306910312 0.393162496248133 0.512189641110959 0.456277053873098 1.16334923677118 0.268411931490125 0.506458175815743 1.39522982051955 0 1.15380611533363 0.272036750995159 0.465741817025653 1.67909487771567 1.56954129623552 1.4883121520493 1.55221138359102
"MissMntn_1788.rtf" 1.35759092497232 1.37994859521243 0.509103493679532 0.283848997522431 0.552545866701346 0.278684426897414 1.50622819367676 0.636959376082479 1.47377777099664 1.953314049913 0.725023606705087 0.417029514539837 0.410413332455393 0.200357748787222 1.19155797349995 1.35082722012488 1.31949797881853 0.23918534026955 1.17776568287798 1.46959468937758 0.484949137518402 1.15380611533363 0 1.20148708834857 1.37939946565305 0.696504828391318 0.588436107479955 0.419990155229794 0.595982847191123
"MissRchrdsn_1788.rtf" 2.44517735815053 2.47831490778144 0.920090049255401 1.34229907315721 1.7185279191833 1.38227909452342 0.477156343090327 0.757074367974687 0.382492126595296 0.993083265613243 1.81468738037333 1.03397136706351 1.08616374980433 1.28567012837105 0.232010688035826 0.374813411881985 0.243778343704516 1.30033182868562 0.332837448519046 0.31207963256825 1.53652895184218 0.272036750995159 1.20148708834857 0 0.333670681430851 1.75377207600517 1.63900240999337 1.57728999609798 1.677936116373
"MissTrbt_1788.rtf" 2.52254769201017 2.57131016211046 1.17621409622278 1.51693833521339 1.80243465797115 1.51689537061034 0.348665395945823 0.965401558222527 0.308446469204523 0.83578577206561 1.89237108919289 1.1760720019182 1.27721800139499 1.50225409127862 0.55990253863622 0.246737055565077 0.352372682555474 1.43573953372884 0.65715373566818 0.240427010907504 1.65942345698346 0.465741817025653 1.37939946565305 0.333670681430851 0 1.83489622237393 1.67720076878898 1.70000531900798 1.80598349202448
"MrsCrsby_1788.rtf" 0.791680378713268 0.814114252070628 1.05428796213004 0.48324310184783 0.283351651412796 0.687040984696409 2.04051598926346 1.07811633724307 2.06009085542159 2.5111596958052 0.235989503228096 0.965582841714621 0.837589176070252 0.548911194457655 1.73619697976558 1.89446874244736 1.87943116449117 0.728375311815614 1.69229091328442 1.9310971470026 0.416775014878986 1.67909487771567 0.696504828391318 1.75377207600517 1.83489622237393 0 0.190707587853656 0.421507723691526 0.320172087187119
"MrsDd_1788.rtf" 0.949904212994146 0.976091898860627 0.913347158844932 0.375174380936468 0.194528857109929 0.622834361039237 1.87978301586081 0.96931013512416 1.93115743778016 2.35611522833371 0.35717969651316 0.862201465268148 0.78260826327183 0.462871469509508 1.68121606696716 1.79053593586152 1.73164936421067 0.628454112943502 1.61528100452279 1.77154463082249 0.325674273052775 1.56954129623552 0.588436107479955 1.63900240999337 1.67720076878898 0.190707587853656 0 0.357238829183299 0.207694811514693
"MrsDfld_1788.rtf" 1.05212386522674 1.04067581546898 0.756857342318061 0.26782826119251 0.276931777915644 0.496769847298206 1.88036820018506 0.944128677500431 1.82102660545559 2.25612654183656 0.506187599589032 0.669857247609017 0.61425763734378 0.342970104811995 1.49809200052081 1.66469247419117 1.63076148785592 0.474742098912377 1.43219917177738 1.82819199350865 0.156170038167374 1.4883121520493 0.419990155229794 1.57728999609798 1.70000531900798 0.421507723691526 0.357238829183299 0 0.328786812248356
"MrsHrvy_1788.rtf" 0.944154053523797 0.960961482833641 0.922085918807383 0.35618953809867 0.218616723795452 0.748412417283536 1.90929358356425 1.03775281000079 1.98712243664217 2.47133767286243 0.369614196277756 0.871216682836096 0.862157965420515 0.517636432354586 1.75064518306998 1.92244140791034 1.70564651963526 0.683100699325456 1.59505721355315 1.8482914198594 0.216672462510959 1.55221138359102 0.595982847191123 1.677936116373 1.80598349202448 0.320172087187119 0.207694811514693 0.328786812248356 0
